id,name,town,street,instituted_on,gender,ethnicities,closed_on,notes,
1,Cathedral,Boston,17 Worcester Street,9/3/1879,Men,,,,
2,St. Francis,North Adams,,2/21/1905,Men,,1889,,
3,Fenwick,Boston,11a Green Street,11/14/1879,Mixed,,,,
4,St. Francis,Roxbury,1435 Tremont Street,12/18/1879,Men,,,,
5,Leo,East Boston,Central Square,1/16/1880,Men,,,,
6,Cheverus,Charlestown,14 Green Street,2/11/1880,Mixed,,,,
7,St. Patrick,South Boston,456 4th Street,2/16/1880,Mixed,,,,
8,Sherwood,Boston,17 Worcester Street,3/4/1880,Mixed,,,,
9,Columbus,Boston,17 Worcester Street,3/9/1880,Mixed,,,,
10,Iona,Malden,Charles Street,3/15/1880,Mixed,,,,
11,St. Joseph,Boston,11 Green Street,3/22/1880,Men,,,,
12,Fulton,Boston,17 Worcester Street,3/18/1880,Mixed,,,,
13,Fitzpatrick,East Boston,Central Square,3/18/1880,Mixed,,,,
14,Lafayette,Lynn,38 Market Street,5/5/1880,Men,,,,
15,SS. Peter and Paul,South Boston,1 National Street,6/25/1880,Men,,,,
16,Essex,Salem,60 Washington Street,6/23/1880,Men,,,,
17,Hamilton,Charlestown,City Square,7/8/1880,Mixed,,,,
18,St. Peter,Dorchester,204 Adams Street,7/22/1880,Men,,,,
19,Williams,East Boston,163 Meridian,9/16/1880,Men,,,,
20,Mt. Pleasant,Roxbury,214 Dudley Street,10/20/1880,Men,,,,
21,St. Alphonsus,Roxbury,214 Dudley Street,10/13/1880,Men,,,,
22,O'Connor,Winchester,,2/22/1905,Men,,1889,,
23,St. John,Hyde Park,17 Harvard Avenue,12/14/1880,Men,,,,
24,St. Gregory,Dorchester,16 River Street,12/20/1880,Men,,,,
25,St. Francis,West Quincy,Copeland Street,12/21/1880,Mixed,,,,
26,St. Raphael,Dedham,High Street,12/31/1880,Men,,,,
27,Sullivan,Boston,,2/23/1905,Men,,1889,,
28,Erin,Boston,17 Worcester Street,2/3/1881,Men,,,,
29,St. Thomas,Brockton,Main Street,2/17/1881,Men,,,,
30,Bass River,Beverly,65 Cabot Street,2/24/1881,Men,,,,
31,St. Joseph,Somerville,,2/23/1905,Men,,1889,,
32,Qualey,Woburn,Pleasant Street,2/24/1881,Mixed,,,,
33,St. John,Cambridge,Mass Avenue,3/3/1881,Mixed,,,,
34,Americus,Boston,17 Worcester Street,3/15/1881,Mixed,,,,
35,Sheil,Boston,Union Hall,3/18/1881,Men,,1901,,
36,McGlew,Chelsea,,2/23/1905,Men,,1889,,
37,Friendship,Roxbury,St. Francis de Sales St.,3/25/1881,Men,,1928,,
38,St. Joseph,Roxbury,St. Francis de Sales St.,3/29/1881,Mixed,,,,
39,Benedict,Somerville,Union Square,3/31/1881,Mixed,,,,
40,Liberty,Boston,,,Men,,1889,,
41,Star of Sea,East Boston,Moore Street,12/13/1881,Men,,1892,,
42,Fitton,Boston,,2/24/1905,Men,,1889,,
43,St. Mary,Randolph,North Street,9/4/1882,Mixed,,,,
44,St. Bernard,West Newton,Washington Street,9/23/1882,Mixed,,,,
45,Unity,Bridgewater,Broad Street,9/12/1882,Men,,,,
46,St. Augustine,South Boston,E. Street,11/14/1882,Men,,,,
47,St. Anne,Gloucester,197 1/2 Main Street,12/22/1882,Men,,,,
48,Sarsfield,North Attleboro,East Street,3/6/1883,Mixed,,,,
49,Constantine,Boston,17 Worcester Street,4/5/1883,Mixed,,,,
50,Lynden,Boston,,2/25/1905,Men,,1889,,
51,Holy Trinity,Boston,133 Shawmut Ave.,4/13/1883,Men,German,,,
52,Highland,Roxbury,184 Dudley Street,4/16/1883,Men,,,,
53,Emerald,Peabody,9 Main Street,7/2/1883,Men,,,,
54,St. James,Boston,17 Worcester Street,7/2/1883,Mixed,,,,
55,Charles River,Watertown,111 Worcester Street,10/8/1883,Men,,,,
56,Clinton,Clinton,High St.,2/27/1905,,,1889,See #217,
57,Carroll,Jamaica Plain,129 South Street,7/30/1885,Men,,,,
58,Prospect,Waltham,710 Main Street,8/25/1885,Men,,,,
59,Worcester,Worcester,112 Front Street,12/17/1885,Men,,,,
60,Middlesex,Newton,429 Center Street,2/19/1886,Mixed,,,,
61,St. Lawrence,Brookline,107 Washington Street,10/20/1886,Mixed,,,,
62,St. Catherine,Norwood,Washington Street,12/31/1886,Mixed,,,,
63,Shields,Holyoke,High Street,1/14/1887,Men,,,,
64,Gallagher,Springfield,192 Pearl Street,4/17/1887,Men,,,,
65,St. Columbkille,Brighton,Market Street,5/26/1887,Men,,,,
66,Griffin,Franklin,Main Street,9/12/1887,Mixed,,,,
67,Canton,Canton,480 Washington Street,1/26/1888,Men,,,,
68,St. Margaret,Beverly,Hale Street,4/14/1888,Mixed,,,,
69,Stoughton,Stoughton,Pearl Street,6/7/1888,Mixed,,,,
70,St. Michael,South Boston,456 Fourth Street,9/14/1888,Men,,,,
71,Phil Sheridan,Newburyport,1 Carter Street,9/18/1888,Mixed,,,,
72,Merrimack,Haverhill,81 Winter Street,12/20/1888,Mixed,,,,
73,Taunton,Taunton,Broadway,3/12/1889,Men,,,,
74,Hendricken,North Easton,Maine Street,3/29/1889,Mixed,,,,
75,St. Jarlath,Amesbury,3 School Street,6/12/1889,Mixed,,,,
76,Quincy,Quincy,Maple Street,10/24/1889,Mixed,,,,
77,Mystic,Medford,Medford Square,12/12/1889,Mixed,,,,
78,St. Monica,Lawrence,Haverhill Street,3/26/1890,Mixed,,,,
79,John Boyle O'Reilly,New Bedford,746 Pleasant St.,1/24/1891,Men,,,,
80,General Sherman,Plymouth,Middle St.,3/7/1891,Men,,,,
81,St. Malachi,Arlington,Chestnut St.,9/3/1891,Mixed,,,,
82,Brockton,Brockton,126 Maine St.,12/11/1891,Men,,,,
83,John Henry Newman,Everett,School and Corey,12/12/1891,Mixed,,,,
84,Danvers,Danvers,Maple Street,2/10/1892,Men,,,,
85,George Washington,Lynn,Market Square,2/22/1892,Men,,,,
86,Avon,Avon,Main Street,3/16/1892,Mixed,,,,
87,Robert Emmet,Walpole,Main Street,4/1/1892,Mixed,,,,
88,Enterprise,West Newbury,Main Street,6/2/1892,Mixed,,,,
89,Union,Whitman,33 South St.,8/24/1892,Mixed,,,,
90,Rockland,Rockland,Union St.,11/21/1892,Men,,,,
91,St. Vincent,Holliston,Washington Street,12/8/1892,Mixed,,,,
92,Harmony,East Bridgewater,Union St.,2/20/1893,Mixed,,,,
93,Germania,Boston,133 Shawmut Ave,2/26/1893,Mixed,German,,,
94,Loyola,Boston,Union Hall,3/6/1893,Men,,1897,,
95,Columbia,Roxbury,Columbus Ave,3/28/1893,Men,,,,
96,Sacred Heart,Middleboro,Main St.,5/10/1893,Mixed,,,,
97,St. Anthony,Medway,Broad Street,5/23/1893,Mixed,,,,
98,Onota,Pittsfield,Melville St.,7/31/1893,Mixed,,,,
99,Mt. Hope/St. Ignatius,Roslindale,41 Poplar St.,11/2/1893,Men,,,,
100,McCafferty,Worcester,112 Front Street,3/28/1894,Men,,,,
101,Greylock,Adams,33 Centre St.,4/16/1894,Mixed,,1926,,
102,St. Rose,Brockton,Main Street,6/15/1894,Women,,,First Women's Court,
103,St. Elizabeth,Taunton,Broadway,6/22/1894,Women,,,,
104,Springfield,Springfield,192 Pearl Street,7/23/1894,Men,,,,
105,St. Cecilia,Boston,133 Shawmut Ave,9/6/1894,Women,German,,,
106,St. Clare,Boston,17 Worcester Street,9/20/1894,Women,,,,
107,Notre Dame,South Boston,Broadway,9/24/1894,Women,,,,
